Episode 73/100, Score: -21.0 (0.01), AVG Score: -20.89189189189189, Steps: 77954
Episode 74/100, Score: -21.0 (0.01), AVG Score: -20.893333333333334, Steps: 78993
Episode 75/100, Score: -21.0 (0.01), AVG Score: -20.894736842105264, Steps: 80017
Episode 76/100, Score: -21.0 (0.01), AVG Score: -20.896103896103895, Steps: 81037
Episode 77/100, Score: -21.0 (0.01), AVG Score: -20.897435897435898, Steps: 82071
Episode 78/100, Score: -21.0 (0.01), AVG Score: -20.89873417721519, Steps: 83103
Episode 79/100, Score: -21.0 (0.01), AVG Score: -20.9, Steps: 84119
Episode 80/100, Score: -21.0 (0.01), AVG Score: -20.901234567901234, Steps: 85126
Episode 81/100, Score: -21.0 (0.01), AVG Score: -20.902439024390244, Steps: 86149
Episode 82/100, Score: -21.0 (0.01), AVG Score: -20.903614457831324, Steps: 87160
Episode 83/100, Score: -21.0 (0.01), AVG Score: -20.904761904761905, Steps: 88196
Episode 84/100, Score: -21.0 (0.01), AVG Score: -20.905882352941177, Steps: 89219
Episode 85/100, Score: -21.0 (0.01), AVG Score: -20.906976744186046, Steps: 90232
Episode 86/100, Score: -21.0 (0.01), AVG Score: -20.908045977011493, Steps: 91251
Episode 87/100, Score: -21.0 (0.01), AVG Score: -20.90909090909091, Steps: 92260
Episode 88/100, Score: -21.0 (0.01), AVG Score: -20.910112359550563, Steps: 93302
Episode 89/100, Score: -21.0 (0.01), AVG Score: -20.91111111111111, Steps: 94331
Episode 90/100, Score: -21.0 (0.01), AVG Score: -20.912087912087912, Steps: 95367
Episode 91/100, Score: -21.0 (0.01), AVG Score: -20.91304347826087, Steps: 96398
Episode 92/100, Score: -21.0 (0.01), AVG Score: -20.913978494623656, Steps: 97439
Episode 93/100, Score: -21.0 (0.01), AVG Score: -20.914893617021278, Steps: 98468
Episode 94/100, Score: -20.0 (0.01), AVG Score: -20.905263157894737, Steps: 99584
Episode 95/100, Score: -21.0 (0.01), AVG Score: -20.90625, Steps: 100598
Episode 96/100, Score: -21.0 (0.01), AVG Score: -20.90721649484536, Steps: 101633
Episode 97/100, Score: -21.0 (0.01), AVG Score: -20.908163265306122, Steps: 102648
Episode 98/100, Score: -21.0 (0.01), AVG Score: -20.90909090909091, Steps: 103673
Episode 99/100, Score: -21.0 (0.01), AVG Score: -20.91, Steps: 104687
